retina,id,i,j,unit_num,ntrials,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34
R1_E1_AMES_130min_checkerboard_contrast,"R1_E1_AMES_130min_checkerboard_contrast_(3, 4)_3",3,4,3,18,0,0,0,0,0,0,1,0,0,0,1,4,0,1,0,0,17,40,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0
R1_E1_AMES_130min_checkerboard_contrast,"R1_E1_AMES_130min_checkerboard_contrast_(3, 4)_4",3,4,4,18,3,0,1,0,0,2,1,0,0,0,4,1,0,0,0,3,26,12,6,5,2,3,2,4,2,0,0,1,0,0,0,1,0,0,1.0
R1_E1_AMES_130min_checkerboard_contrast,"R1_E1_AMES_130min_checkerboard_contrast_(2, 7)_3",2,7,3,18,0,0,0,0,0,0,0,0,0,0,34,35,13,3,3,1,14,12,1,2,0,0,0,0,0,10,0,0,5,3,0,2,0,0,0.0
R1_E1_AMES_130min_checkerboard_contrast,"R1_E1_AMES_130min_checkerboard_contrast_(2, 7)_1",2,7,1,18,0,0,0,0,0,0,0,0,0,0,17,27,10,1,2,0,13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
R1_E1_AMES_130min_checkerboard_contrast,"R1_E1_AMES_130min_checkerboard_contrast_(2, 7)_0",2,7,0,18,0,0,0,0,0,0,0,0,0,0,29,74,19,9,8,11,44,9,2,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0.0
R1_E1_AMES_130min_checkerboard_contrast,"R1_E1_AMES_130min_checkerboard_contrast_(2, 7)_2",2,7,2,18,0,0,0,0,0,0,0,0,0,0,13,29,13,14,24,14,25,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
R1_E1_AMES_130min_checkerboard_contrast,"R1_E1_AMES_130min_checkerboard_contrast_(2, 7)_4",2,7,4,18,1,1,0,0,0,0,0,0,0,0,13,18,8,18,17,21,30,8,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0
R1_E1_AMES_130min_checkerboard_contrast,"R1_E1_AMES_130min_checkerboard_contrast_(2, 6)_6",2,6,6,18,1,1,0,1,1,0,2,0,1,1,1,0,0,0,0,6,32,5,1,5,2,4,1,1,2,1,3,0,0,1,1,1,0,0,0.0
R1_E1_AMES_130min_checkerboard_contrast,"R1_E1_AMES_130min_checkerboard_contrast_(2, 6)_0",2,6,0,18,1,0,0,1,0,0,0,0,0,0,73,152,59,37,17,17,102,43,15,3,3,0,1,6,0,1,1,8,2,0,0,1,1,1,0.0
R1_E1_AMES_130min_checkerboard_contrast,"R1_E1_AMES_130min_checkerboard_contrast_(2, 6)_3",2,6,3,18,0,0,3,0,0,0,0,1,0,0,20,43,19,15,7,4,24,18,2,2,1,2,1,1,1,0,2,1,0,1,0,0,0,0,0.0
R1_E1_AMES_130min_checkerboard_contrast,"R1_E1_AMES_130min_checkerboard_contrast_(2, 6)_2",2,6,2,18,2,2,3,4,0,1,0,2,0,0,10,9,7,3,2,4,23,11,7,5,3,5,2,1,1,0,2,1,1,3,1,0,2,0,0.0
